Forex,order,n_b,n_c,1,2,3,4,5,6,7,8,9,10,11,12,MAE
XAUUSD_,1,1,1,0.007396762791365232,0.2722686123658949,0.15605628100777316,0.19771584442188017,1.0644662413601989,0.2888476075819454,0.3604321548948837,0.00721316232227827,0.026308754405923777,0.034578991823781574,1.1022384166427373,0.012628212122090667,0.2941792534783961
XAUUSD_,1,1,2,0.025475530843778807,0.11368196154884598,0.14524757707342162,0.19434828298641593,1.0331019925151395,0.2732066387460308,0.472177671783384,0.046748705242205105,0.10739969665561555,0.11066248218341225,1.1245920495933008,0.023098922366741347,0.30581179262819097
XAUUSD_,1,1,3,0.012540041223846539,0.11256655241740215,0.15038306593757533,0.1874750805431519,1.0411225914595512,0.25567606698563006,0.45022344857973995,0.015235208291551708,0.05049044397641517,0.06327223718652568,1.1184403567422099,0.04900368038701526,0.2922023978108846
XAUUSD_,1,1,4,0.09219589649209668,0.11685533573807581,0.1094545827244211,0.18403665741297487,0.9849854193399008,0.28100799226187057,0.4925500730886302,0.028887763042949304,0.08768858261008203,0.05952587533637145,1.0252378269344071,0.080578865269643,0.29525040585428525
XAUUSD_,1,1,5,0.13653463626508944,0.0861637711624852,0.1060747303735425,0.22364149083097745,0.9719756729235193,0.3257265455043022,0.5264659993752282,0.030894783543916674,0.10788101987357959,0.04003430811277188,1.0098448863264453,0.04811074669699981,0.30111238258240475
XAUUSD_,1,1,6,0.19655551307899505,0.19549270727257828,0.03562834582713713,0.1825098279021597,0.9852253538170417,0.26663809993956633,0.4602520852142471,0.013272917426864463,0.10406048386797703,0.06315682347374015,0.8873244771730739,0.007868593942635218,0.28316543574466796
XAUUSD_,1,2,1,0.006849861104516559,0.24957458162252763,0.15756853707009855,0.19779622692592627,1.0652282435316325,0.28511196227567237,0.35988793854332163,0.005400047215154727,0.026858959746182933,0.03617505268926081,1.105034172001277,0.02656171907437056,0.2935039418166618
XAUUSD_,1,2,2,0.049011678558106425,0.11418509737459143,0.15229824456629287,0.19767540757630503,1.040527217144266,0.2726746838316873,0.4581726168752989,0.07671305097627892,0.17751105932574748,0.18466059523616338,1.1308362189185075,0.004036356432397241,0.3215251855679702
XAUUSD_,1,2,3,0.009670401797576,0.11460814669861556,0.15192584740800702,0.19039400635023246,1.0456684038987714,0.2529552050713709,0.43553466205698266,0.008267825242960257,0.04414067181250675,0.05885766762914848,1.1251643783101735,0.033116532488210774,0.289191979063713
XAUUSD_,1,2,4,0.09183841750126978,0.11619172574606904,0.12895005957227634,0.18926268622077516,1.0061308593760978,0.29076180867103263,0.46367105377206635,0.04909390020380004,0.08133450323442946,0.0674018273573427,1.0592796257471002,0.0637458246870916,0.3006385243407792
XAUUSD_,1,2,5,0.11907176028998732,0.07014205348346256,0.14697562052894828,0.2273367300979128,1.0049683564453433,0.3401501367678249,0.4919588930004269,0.05376656791224849,0.09704997393936682,0.014223822344828638,1.0433038853062906,0.0594633714556146,0.30570093096435463
XAUUSD_,1,2,6,0.16810190053507712,0.18149256601927002,0.012291707094781211,0.18517464649553314,1.0185881598326323,0.28112840146966245,0.43727859201159847,0.021624056709581216,0.08857821824054096,0.03209116988730029,0.9023765392236016,0.04083788283743416,0.2807969866964177
XAUUSD_,1,3,1,0.005151417624436009,0.2234817160335529,0.15745571432525285,0.19756383075453457,1.065209653216041,0.2848154663535176,0.3598073026842263,0.005839117931508208,0.026472592853063324,0.03543159161784039,1.1043323971402899,0.023464199688247773,0.2907520833518759
XAUUSD_,1,3,2,0.037349710066057196,0.1141981653106159,0.16570625361068408,0.19526290450519096,1.040666680279172,0.2730588864645134,0.4561182537091108,0.05525741537146981,0.11139620638300385,0.097625068007411,1.1301607549181507,0.008732744840343412,0.3071277536221436
XAUUSD_,1,3,3,0.006889754925879215,0.11220306706767064,0.15384976615501803,0.1883214365570005,1.045736741291551,0.25419612083504717,0.4359294974658543,0.0061559867207484084,0.04345313338952463,0.06999822425994977,1.1282511177917103,0.03986993124926611,0.2904045648091017
XAUUSD_,1,3,4,0.0811487009045881,0.11268136997736017,0.13364235538077326,0.1852949647152813,1.006213718068633,0.29128194091493437,0.46326645418302714,0.04769814284959188,0.08695865648457735,0.0859665659431601,1.0649609433867755,0.07693594269913258,0.3030041462923196
XAUUSD_,1,3,5,0.08108815638262358,0.0717700160164745,0.15495547058801448,0.22157744924075828,1.0047544118723812,0.3413566610412955,0.4869383084333696,0.04964158483758076,0.10206187143357208,0.048993849502588,1.0443877941664923,0.07290861387542924,0.3067028489492149
XAUUSD_,1,3,6,0.11157997766022348,0.19454591178363428,0.03427788344305698,0.1841049075392542,1.0195335232239382,0.27837294556595865,0.42608524597050246,0.021557778827062116,0.10802526153809772,0.06295666038595103,0.9053652984242782,0.045824509198545034,0.28268582529670855
XAUUSD_,1,4,1,0.004615134965929367,0.2011537711759642,0.15738422727306559,0.19766565042988082,1.065330190966614,0.28862670738166696,0.3602478291697681,0.005477233035036286,0.02598417162902331,0.03517258400793162,1.1041265182776454,0.026186398027039228,0.28933086802829705
XAUUSD_,1,4,2,0.2114725905989006,0.11501823128770153,0.18176493850511438,0.1955287752214803,1.0410914896479406,0.27445586481161555,0.4575755106234477,0.04759345755016323,0.25791483023013295,0.09636806334066718,1.1324885260301853,0.007855017717896979,0.33492727463043725
XAUUSD_,1,4,3,0.01249982869613825,0.11255813180199904,0.15200101914835112,0.18841807758193588,1.0460675130285801,0.25382895578845,0.43907566349672983,0.012612494173657687,0.049975818443457186,0.06999954399611646,1.1296238810705042,0.03959588134038619,0.29218806738052544
XAUUSD_,1,4,4,0.061516390240736664,0.10916882122324233,0.12709798191819685,0.18532968019202142,1.0056142109171626,0.2914895168676557,0.4677186650896195,0.038626975155352294,0.08273116655730356,0.08757704957063085,1.0654194799168162,0.077600966306024,0.29999090866289674
