Forex,MAE,EVR,order,n_b,n_c,frequency,N
BTCUSD_,8.102359639548022,99.52440906053397,1,1,1,W,59
BTCUSD_,8.186757551679243,100.56110117301483,1,1,2,W,59
BTCUSD_,8.054458492035808,98.9360207870482,1,1,3,W,59
BTCUSD_,8.197525822194974,100.69337199378302,1,1,4,W,59
BTCUSD_,9.48904838099876,116.55764180796099,1,1,5,W,59
BTCUSD_,8.468217679900826,104.01838450546856,1,1,6,W,59
BTCUSD_,8.264308140506664,101.51368497189642,1,2,1,W,59
BTCUSD_,8.359971070314026,102.68874964214453,1,2,2,W,59
BTCUSD_,8.39914475678674,103.16993514493183,1,2,3,W,59
BTCUSD_,8.122583441239762,99.77282581835146,1,2,4,W,59
BTCUSD_,10.30088475627935,126.52974118371195,1,2,5,W,59
BTCUSD_,7.363180800502782,90.44479023110705,1,2,6,W,59
BTCUSD_,8.327111863940102,102.285127334317,1,3,1,W,59
BTCUSD_,8.509010995221262,104.5194645341888,1,3,2,W,59
BTCUSD_,8.694900171251252,106.80281299293067,1,3,3,W,59
BTCUSD_,8.239381009728078,101.20749540852475,1,3,4,W,59
BTCUSD_,9.837659245513501,120.8397635387173,1,3,5,W,59
BTCUSD_,7.424127563182222,91.19342282823554,1,3,6,W,59
BTCUSD_,8.56051962905874,105.15216495385029,1,4,1,W,59
BTCUSD_,8.598976214090243,105.62454202300246,1,4,2,W,59
BTCUSD_,9.013474397184593,110.71598310490332,1,4,3,W,59
BTCUSD_,8.799093533897949,108.08266026048801,1,4,4,W,59
BTCUSD_,8.79142491650918,107.98846367481644,1,4,5,W,59
BTCUSD_,7.486331136059576,91.95749330985856,1,4,6,W,59
BTCUSD_,8.557054600745621,105.10960267439309,1,5,1,W,59
BTCUSD_,8.581754740013142,105.41300401346894,1,5,2,W,59
BTCUSD_,9.005591923825932,110.61915964385538,1,5,3,W,59
BTCUSD_,8.857606777626824,108.8014010055799,1,5,4,W,59
BTCUSD_,8.87917118998561,109.0662850013816,1,5,5,W,59
BTCUSD_,7.315896018176293,89.86397300896972,1,5,6,W,59
BTCUSD_,8.50144350334155,104.42651011215567,1,6,1,W,59
BTCUSD_,8.446008294232634,103.7455780536992,1,6,2,W,59
BTCUSD_,9.040753879760677,111.05106751285899,1,6,3,W,59
BTCUSD_,8.675677052802971,106.5666880134213,1,6,4,W,59
BTCUSD_,8.468295838075539,104.01934455247927,1,6,5,W,59
BTCUSD_,7.403858943822645,90.94445555771489,1,6,6,W,59
BTCUSD_,10.184012153869492,125.0941499229349,2,1,1,W,59
BTCUSD_,23.324814149002354,286.5076900925785,2,1,2,W,59
BTCUSD_,8.537550563304555,104.87002705852657,2,1,3,W,59
BTCUSD_,8.710668813824691,106.99650531265296,2,1,4,W,59
BTCUSD_,11.05961088706499,135.8494669382501,2,1,5,W,59
BTCUSD_,10.17187223276538,124.94503058885465,2,1,6,W,59
BTCUSD_,8.560930901924772,105.1572167771185,2,2,1,W,59
BTCUSD_,8.648950668382497,106.23839752347698,2,2,2,W,59
BTCUSD_,8.606457996907475,105.71644364755758,2,2,3,W,59
BTCUSD_,8.446632192772514,103.75324164014286,2,2,4,W,59
BTCUSD_,8.880990436105694,109.08863150327635,2,2,5,W,59
BTCUSD_,9.06324576851116,111.32734405896797,2,2,6,W,59
BTCUSD_,8.803640937196494,108.13851776943375,2,3,1,W,59
BTCUSD_,8.872422318955389,108.98338601503816,2,3,2,W,59
BTCUSD_,8.81038000329284,108.221296317992,2,3,3,W,59
BTCUSD_,8.912222679555802,109.47226919788503,2,3,4,W,59
BTCUSD_,9.185608580968223,112.83037368768653,2,3,5,W,59
BTCUSD_,8.843927883076349,108.63337786697564,2,3,6,W,59
BTCUSD_,9.015079369297611,110.73569759650984,2,4,1,W,59
BTCUSD_,9.196588279467013,112.96524155993218,2,4,2,W,59
BTCUSD_,9.09877633871095,111.76377975918766,2,4,3,W,59
BTCUSD_,9.026298616567509,110.87350793872056,2,4,4,W,59
BTCUSD_,9.697009037300562,119.11210277328938,2,4,5,W,59
BTCUSD_,9.247490411405403,113.59049208279988,2,4,6,W,59
BTCUSD_,9.045187881309694,111.10553206436883,2,5,1,W,59
BTCUSD_,9.210318791268076,113.13389873313756,2,5,2,W,59
BTCUSD_,9.117073480629486,111.98853061177269,2,5,3,W,59
BTCUSD_,9.044851059529632,111.10139475251022,2,5,4,W,59
BTCUSD_,9.772055631267348,120.03392903734384,2,5,5,W,59
BTCUSD_,9.185478935777468,112.82878120579589,2,5,6,W,59
BTCUSD_,8.979603756305005,110.29993695686655,2,6,1,W,59
BTCUSD_,9.145392386167627,112.33638265294447,2,6,2,W,59
BTCUSD_,9.080421327346572,111.53831807387533,2,6,3,W,59
BTCUSD_,8.962305765004858,110.08745905676467,2,6,4,W,59
BTCUSD_,9.764743494548098,119.94411124125378,2,6,5,W,59
BTCUSD_,9.057753910502145,111.25988544847581,2,6,6,W,59
BTCUSD_,8.31007543280976,102.07586227868164,3,1,1,W,59
BTCUSD_,12.00814205048094,147.50064112875287,3,1,2,W,59
BTCUSD_,8.540502607663939,104.90628815818873,3,1,3,W,59
BTCUSD_,8.689106447977753,106.73164645494577,3,1,4,W,59
BTCUSD_,12.011611083922695,147.54325260475014,3,1,5,W,59
BTCUSD_,10.24364778927203,125.82667743793398,3,1,6,W,59
BTCUSD_,8.672650757122026,106.52951485613285,3,2,1,W,59
BTCUSD_,8.690992514502154,106.75481373764372,3,2,2,W,59
BTCUSD_,8.661146485275799,106.38820344709852,3,2,3,W,59
BTCUSD_,8.498206071668013,104.3867434900213,3,2,4,W,59
BTCUSD_,9.584155415468866,117.72587820133651,3,2,5,W,59
BTCUSD_,9.182974841286223,112.79802244716754,3,2,6,W,59
BTCUSD_,8.932669185872438,109.72342152252182,3,3,1,W,59
BTCUSD_,16.913385092441693,207.75363368496494,3,3,2,W,59
BTCUSD_,8.787446071215955,107.93958998317991,3,3,3,W,59
BTCUSD_,8.81081134794822,108.22659469079177,3,3,4,W,59
BTCUSD_,8.653468994983816,106.29389787213391,3,3,5,W,59
BTCUSD_,8.596495735075544,105.59407334238257,3,3,6,W,59
BTCUSD_,9.29580275109955,114.18393118847999,3,4,1,W,59
BTCUSD_,12.940289594180333,158.9505689980477,3,4,2,W,59
BTCUSD_,9.178818871627717,112.74697306862387,3,4,3,W,59
BTCUSD_,8.993620341096937,110.47210807497575,3,4,4,W,59
BTCUSD_,9.291690144994105,114.13341446118667,3,4,5,W,59
BTCUSD_,9.261982070248662,113.76849871874856,3,4,6,W,59
