Forex,MAE,EVR,order,n_b,n_c,frequency,N
BTCUSD_,0.5280962144055623,20.908329612646998,1,1,1,D,59
BTCUSD_,0.5236763866903708,20.733340259988303,1,1,2,D,59
BTCUSD_,0.4742017456788658,18.77454549206839,1,1,3,D,59
BTCUSD_,0.7536942810699476,29.840184470012925,1,1,4,D,59
BTCUSD_,0.8155813209011612,32.29040962263693,1,1,5,D,59
BTCUSD_,0.8124189406801983,32.165204998523436,1,1,6,D,59
BTCUSD_,0.5464944447141441,21.63675040622194,1,2,1,D,59
BTCUSD_,0.5124212930290284,20.28772977903182,1,2,2,D,59
BTCUSD_,0.4914353196346661,19.4568553341819,1,2,3,D,59
BTCUSD_,0.6938707041407791,27.471655722935004,1,2,4,D,59
BTCUSD_,0.7497952214979052,29.685813314742724,1,2,5,D,59
BTCUSD_,0.8043239370263927,31.844708467792074,1,2,6,D,59
BTCUSD_,0.5417009619213892,21.446967341148678,1,3,1,D,59
BTCUSD_,0.492737595199847,19.508414890983396,1,3,2,D,59
BTCUSD_,0.5602359605738513,22.180803052567036,1,3,3,D,59
BTCUSD_,0.7225381134056801,28.60665276646785,1,3,4,D,59
BTCUSD_,0.8858718740396108,35.07334578764668,1,3,5,D,59
BTCUSD_,0.7346294752272956,29.085372688209162,1,3,6,D,59
BTCUSD_,0.5288546562459611,20.938357761985145,1,4,1,D,59
BTCUSD_,0.4957253179909784,19.626704496559356,1,4,2,D,59
BTCUSD_,0.4802394544324651,19.013589820131816,1,4,3,D,59
BTCUSD_,0.7909829934262392,31.31651523609144,1,4,4,D,59
BTCUSD_,0.848430805820822,33.59098296433197,1,4,5,D,59
BTCUSD_,0.6802273848472368,26.931490864678892,1,4,6,D,59
BTCUSD_,0.5128526391827193,20.304807590446675,1,5,1,D,59
BTCUSD_,0.49948765660434713,19.77566261005625,1,5,2,D,59
BTCUSD_,0.47839805240432803,18.940685225280625,1,5,3,D,59
BTCUSD_,0.755360481107847,29.906152486148432,1,5,4,D,59
BTCUSD_,0.8165783517705094,32.32988396364083,1,5,5,D,59
BTCUSD_,0.7090249578246884,28.071641336188264,1,5,6,D,59
BTCUSD_,0.48003433200377654,19.005468634573248,1,6,1,D,59
BTCUSD_,0.5096228806453632,20.176935331138186,1,6,2,D,59
BTCUSD_,0.49607682352402,19.640621266543736,1,6,3,D,59
