Forex,MAE,EVR,order,n_b,n_c,frequency,N
BTCUSD_,0.5678132638347319,22.23755964958039,1,1,1,D,59
BTCUSD_,0.6039500292771097,23.65280217428067,1,1,2,D,59
BTCUSD_,0.6279772827710841,24.593793723473084,1,1,3,D,59
BTCUSD_,0.6998590458343266,27.408935770420953,1,1,4,D,59
BTCUSD_,0.7631235869462447,29.886597171245658,1,1,5,D,59
BTCUSD_,0.9599343613204613,37.59439762886336,1,1,6,D,59
BTCUSD_,0.5713303244536763,22.3753000834279,1,2,1,D,59
BTCUSD_,0.6162817674857072,24.135756309844,1,2,2,D,59
BTCUSD_,0.628159985181823,24.600948990909934,1,2,3,D,59
BTCUSD_,0.6915437979828946,27.083281489560257,1,2,4,D,59
BTCUSD_,0.7549333037431097,29.565836944465044,1,2,5,D,59
BTCUSD_,0.824589872346296,32.29383256900772,1,2,6,D,59
BTCUSD_,0.5709793839049845,22.361556020226054,1,3,1,D,59
BTCUSD_,0.6005444420985134,23.519427431474515,1,3,2,D,59
BTCUSD_,0.629715402808119,24.661864602516417,1,3,3,D,59
BTCUSD_,0.6929220103434424,27.137257121215086,1,3,4,D,59
BTCUSD_,0.8223893954819221,32.20765417437395,1,3,5,D,59
BTCUSD_,0.9055085918568441,35.46289353762789,1,3,6,D,59
BTCUSD_,0.57368161082041,22.467384707306476,1,4,1,D,59
BTCUSD_,0.6018536786840624,23.57070172977099,1,4,2,D,59
BTCUSD_,0.641244816021611,25.113396876222357,1,4,3,D,59
BTCUSD_,0.7283944993350401,28.526484249412878,1,4,4,D,59
BTCUSD_,0.8084707011923227,31.66254927066158,1,4,5,D,59
BTCUSD_,0.9157596653995582,35.864361544625154,1,4,6,D,59
BTCUSD_,0.5760097398654939,22.558562409219125,1,5,1,D,59
BTCUSD_,0.569215849594397,22.292489829061513,1,5,2,D,59
BTCUSD_,0.591558762486485,23.16751669058231,1,5,3,D,59
BTCUSD_,0.6152455798873456,24.0951755679094,1,5,4,D,59
BTCUSD_,0.7462903905468679,29.227350139050237,1,5,5,D,59
BTCUSD_,0.8581127272515751,33.60670518587098,1,5,6,D,59
BTCUSD_,0.5713399801190467,22.375678233161814,1,6,1,D,59
BTCUSD_,0.5649458669495951,22.125262326968343,1,6,2,D,59
BTCUSD_,0.596900167920282,23.376704868301996,1,6,3,D,59
BTCUSD_,0.6597799174872319,25.839296482140576,1,6,4,D,59
BTCUSD_,0.7479971523953436,29.294192921405802,1,6,5,D,59
BTCUSD_,0.8525990052290607,33.390768485944655,1,6,6,D,59
BTCUSD_,0.6105778181732947,23.91236964181105,2,1,1,D,59
BTCUSD_,0.5201609038341742,20.371326038200525,2,1,2,D,59
BTCUSD_,0.6328236463053664,24.783594323496615,2,1,3,D,59
BTCUSD_,0.662481211845304,25.945088647003047,2,1,4,D,59
BTCUSD_,0.760297886047084,29.775932809739572,2,1,5,D,59
BTCUSD_,0.8097210540476273,31.71151747548138,2,1,6,D,59
BTCUSD_,0.6214853140830402,24.33954545183425,2,2,1,D,59
BTCUSD_,0.6580690627558651,25.772293408130654,2,2,2,D,59
BTCUSD_,0.6229291154214774,24.396089777989665,2,2,3,D,59
BTCUSD_,0.6516430079859937,25.52062655679398,2,2,4,D,59
BTCUSD_,0.8076884837455099,31.63191489094497,2,2,5,D,59
BTCUSD_,0.7851041614560307,30.747433590409834,2,2,6,D,59
BTCUSD_,0.6339725210537349,24.82858828960125,2,3,1,D,59
