Forex,order,n_b,n_c,1,2,3,4,5,6,7,8,9,10,11,12,MAE
BTCUSD_,1,1,1,5.175715659344732,13.475231055704393,11.95808883049217,13.704012454434352,15.772733591153857,0.10200246492432195,3.7735834003146542,9.135087415462797,13.733293171958799,0.5346462816232153,4.133737162514766,1.2533469972460454,7.7292898737645075
BTCUSD_,1,1,2,5.1278278068583845,13.549456930526738,11.93115498370265,13.607497533026692,15.593380855348334,0.5481821911875107,3.3796050646863014,9.140316715599266,13.481568908880565,0.2932152110406917,3.753232693990046,1.2128470190022664,7.634857159487454
BTCUSD_,1,1,3,3.907208956004816,12.558433693560866,11.058833409941874,13.684202154484263,16.92787891799357,1.9391977781431777,5.609848971108368,10.813442134925676,13.806184823414961,0.9340717050951745,2.205757387589011,1.3751606249198702,7.901685046431802
BTCUSD_,1,1,4,3.7570765596683584,11.685705872132067,11.876057772473416,13.379252419663018,16.832492101803716,1.1151465582215043,7.129760734093896,9.701250840900387,15.24692600842969,1.211075462353681,3.1117342325915107,1.9390532225663708,8.082127648741467
BTCUSD_,1,1,5,12.623322643050008,14.167336720550082,8.495811256454491,12.020885948226686,14.452102764130117,5.838047922840914,13.07294605738131,9.061979046285998,17.801945973053645,6.458394492579912,7.047112102682819,7.582110133805964,10.718499588420164
BTCUSD_,1,1,6,6.9251773082155035,13.299558080988557,10.674837586351723,10.28402655532995,17.630154243816886,3.130326247761367,12.48522089511134,10.268793509615321,24.180469975994033,6.720597483529477,3.6445592422863786,0.5026987929643882,9.97886832683041
BTCUSD_,1,2,1,5.283371319421623,13.368715190408414,12.408314245373637,15.21613681098454,16.024212381296664,0.8474637837693015,3.890553207125934,9.252905690871275,13.169982058729696,1.1588778268425268,4.105502031240057,0.629270717712212,7.946275438647991
BTCUSD_,1,2,2,4.110442790886753,14.06987174641385,12.060157062375158,12.251207534629978,14.603648318335004,2.396627759947122,1.6074965246265969,9.19525748608771,11.615080078750351,1.2209679037337913,0.31650483545006836,0.8517755786036134,7.024919801653334
BTCUSD_,1,2,3,1.3865871866456494,12.439727472254509,12.135209322495797,12.459003216994699,15.937372116925971,3.7870267018974473,2.8025929741769096,10.114149586275518,11.054343106828199,1.1770507388429103,1.5010209351342458,2.9634221726057213,7.313125460923131
BTCUSD_,1,2,4,1.2473236081138146,11.071159940210903,13.371763557812294,12.7939810760188,14.554176067907607,2.4751998496065606,4.344547575897815,8.420795081039174,12.20198511990446,0.5204923859714508,0.4138525947350933,3.581162760117438,7.083036634777951
BTCUSD_,1,2,5,13.177609891250292,17.36040686198348,6.756807207796957,9.736620860532382,14.666485611484395,7.030735049302319,12.181154640852732,5.547859172714135,12.758685375159335,7.298096826522111,9.71917527546109,7.779676067115961,10.334442736681266
BTCUSD_,1,2,6,7.317609947816507,14.329946327862652,9.547891249188616,8.248980345383497,17.01104184803637,2.672091590363602,8.787978403471469,5.864728719836479,16.490606604015294,6.162831856179774,3.4750705027378057,5.41157348418571,8.776695906589815
BTCUSD_,1,3,1,5.102792132917643,13.351476926387695,12.783806552535145,15.251741481123894,15.895368560696777,0.3413680675205708,3.705521189546458,9.806257113136521,12.84523932669378,2.6698149513008507,4.8150849664738615,0.5238838594716893,8.09102959398374
BTCUSD_,1,3,2,4.38120374764517,13.93719708457635,12.441794947908695,12.620367770668167,14.541671396421929,1.869419919755437,1.491403435626828,9.507490020015743,11.345888146855607,0.3698762008014077,0.9562487898267769,0.9389842010452941,7.033462138428951
BTCUSD_,1,3,3,0.8916338628878074,12.038542028202995,12.626119940175665,13.351980861148224,16.83007147522485,3.756267833265565,3.1332707481025,11.405420681794427,10.219904614807811,1.1940440551699363,1.4610348560110398,3.9556254384574454,7.571993032937356
BTCUSD_,1,3,4,1.6173944678034897,10.721042547083169,13.601483693106669,13.35564750013914,15.85559630700833,2.1970073522416826,5.1643775163022365,10.304742316461155,12.23493637263378,2.5413827003975196,0.028430315499830733,5.259408459157608,7.740120795652884
BTCUSD_,1,3,5,15.697047922394141,17.815329610292842,5.5983242740798485,7.351201364504682,19.99512237200909,1.6697419275980778,9.235709129614953,10.161954823649937,13.252006064864682,10.137771489479976,6.645888559902445,7.1799039621394005,10.395000125044174
BTCUSD_,1,3,6,5.366887378130807,13.40594707599373,10.09735877252805,9.32723573943042,18.269064353582674,1.0879896004538538,8.015668309815299,7.704831626348383,17.48504049640283,8.688671005663474,1.5684189449642265,4.742902550494983,8.813334654484061
BTCUSD_,1,4,1,5.319068396967147,13.203211017165954,12.980700475331886,15.248151984004824,16.3612449196199,0.9938678765079931,3.8262168097969886,9.518711407544936,12.638804073164902,2.856284557821375,4.20447382379159,0.03011539440180345,8.098404228009942
BTCUSD_,1,4,2,4.182672760112424,13.208128982812392,12.515294900462168,12.066653655009201,14.830208039376162,1.7895044203106347,1.8812504651519992,9.17452892407537,11.12050926634208,0.07509159958878889,0.6953099232582862,1.671960494075897,6.934259452547949
BTCUSD_,1,4,3,0.868967365088759,10.643740421678984,13.504642589148547,13.34620536258364,16.489481857490436,4.206491756760552,4.082313667212368,10.11671831017754,9.600494924241808,1.1005620081132634,2.636888831075369,4.508650232802047,7.592096443864443
BTCUSD_,1,4,4,0.5965371760730643,11.381636528638513,13.418500269651714,13.116223315309258,16.193521763328704,3.1156375453659337,4.263219573159621,10.008136259322912,10.346041957977391,0.8163502927600714,2.2603498135839106,4.394511076659269,7.492555464319197
BTCUSD_,1,4,5,12.575337963538246,16.419462724670016,6.12998686191351,7.816617895880923,18.98229631460765,3.996683047908046,9.471660509499703,8.718503322927184,10.574490837971867,8.076154010196227,6.57030095776946,6.601999236828071,9.661124473642575
