Forex,MAE,EVR,order,n_b,n_c,frequency,N
BTCUSD_,0.776201723742323,30.382364218914024,1,1,1,D,59
BTCUSD_,0.8524622290872857,33.367380069868595,1,1,2,D,59
BTCUSD_,0.8836305590580852,34.58738193832939,1,1,3,D,59
BTCUSD_,0.9597888595627984,37.568397251039315,1,1,4,D,59
BTCUSD_,0.9851495308608905,38.561073676054036,1,1,5,D,59
BTCUSD_,1.2191997777808774,47.72235176902881,1,1,6,D,59
BTCUSD_,0.7817540940185189,30.599697073054475,1,2,1,D,59
BTCUSD_,0.8536665225768609,33.41451895439765,1,2,2,D,59
BTCUSD_,0.8675650852376572,33.958541442319735,1,2,3,D,59
BTCUSD_,0.8820165519000479,34.52420589552057,1,2,4,D,59
BTCUSD_,0.9452168289376063,36.998013640282565,1,2,5,D,59
BTCUSD_,1.08386185264376,42.42490651945725,1,2,6,D,59
BTCUSD_,0.7814879716744514,30.58928041751644,1,3,1,D,59
BTCUSD_,0.8428028107105896,32.98928767676142,1,3,2,D,59
BTCUSD_,0.8755299429613443,34.27030473903876,1,3,3,D,59
BTCUSD_,0.9111478426532037,35.66447324968492,1,3,4,D,59
BTCUSD_,1.0267610769954174,40.18984762965458,1,3,5,D,59
BTCUSD_,1.178062639867692,46.112147270929796,1,3,6,D,59
BTCUSD_,0.7844307663170326,30.70446833312851,1,4,1,D,59
BTCUSD_,0.8486930309650337,33.21984477503392,1,4,2,D,59
BTCUSD_,0.8922922963629792,34.92642274372344,1,4,3,D,59
BTCUSD_,0.8941419378018622,34.99882206744511,1,4,4,D,59
BTCUSD_,1.0069367440314128,39.413876530794504,1,4,5,D,59
BTCUSD_,1.1557815053173146,45.24001116969006,1,4,6,D,59
BTCUSD_,0.785973604775429,30.764858665358055,1,5,1,D,59
BTCUSD_,0.8056253953277093,31.534076047708783,1,5,2,D,59
BTCUSD_,0.8257981724105581,32.32368607032391,1,5,3,D,59
BTCUSD_,0.8285798063055494,32.432565774576354,1,5,4,D,59
BTCUSD_,0.9505707814829428,37.2075799569598,1,5,5,D,59
BTCUSD_,1.09178736969815,42.735129929692334,1,5,6,D,59
BTCUSD_,0.7835231982426434,30.668943980442705,1,6,1,D,59
BTCUSD_,0.8098858601396636,31.700840678215627,1,6,2,D,59
BTCUSD_,0.8382720269349958,32.811942125139154,1,6,3,D,59
BTCUSD_,0.8624570209053574,33.75859976961984,1,6,4,D,59
BTCUSD_,0.95577882947999,37.411435225862036,1,6,5,D,59
BTCUSD_,1.068835826528877,41.83675245560872,1,6,6,D,59
BTCUSD_,0.8695375831492194,34.03574965783515,2,1,1,D,59
BTCUSD_,0.7854601193354379,30.74475963545163,2,1,2,D,59
BTCUSD_,0.8882505384057936,34.76821881479133,2,1,3,D,59
BTCUSD_,0.9127526352155951,35.727288611510325,2,1,4,D,59
BTCUSD_,0.9979345393267304,39.061509029222606,2,1,5,D,59
BTCUSD_,1.037571296120894,40.6129850753858,2,1,6,D,59
BTCUSD_,0.8791222450769928,34.410915907403336,2,2,1,D,59
BTCUSD_,0.9157701375777033,35.84540076327803,2,2,2,D,59
BTCUSD_,0.8506198316664914,33.29526429408202,2,2,3,D,59
BTCUSD_,0.8460669733008598,33.11705469099735,2,2,4,D,59
BTCUSD_,0.9671846271859866,37.857885020433585,2,2,5,D,59
BTCUSD_,1.1099607793277182,43.44647999962385,2,2,6,D,59
BTCUSD_,0.8915283969956724,34.89652192272008,2,3,1,D,59
BTCUSD_,0.9255885699427561,36.22971733853061,2,3,2,D,59
BTCUSD_,0.8916972637255697,34.903131764382714,2,3,3,D,59
BTCUSD_,0.8481404797534625,33.19821661878787,2,3,4,D,59
BTCUSD_,1.0237887891725819,40.07350528148065,2,3,5,D,59
BTCUSD_,1.2594292983913282,49.297029987528596,2,3,6,D,59
BTCUSD_,0.9120131770918322,35.69834447836349,2,4,1,D,59
BTCUSD_,0.9147170653025491,35.80418103336257,2,4,2,D,59
BTCUSD_,0.8983864829325595,35.16496356412037,2,4,3,D,59
BTCUSD_,0.7863264874496504,30.778671324627926,2,4,4,D,59
BTCUSD_,0.9822086238527244,38.44595964690029,2,4,5,D,59
BTCUSD_,1.1835975283913562,46.32879584808869,2,4,6,D,59
BTCUSD_,0.921005187818273,36.050312963609734,2,5,1,D,59
BTCUSD_,0.9802940066533469,38.37101701882827,2,5,2,D,59
BTCUSD_,0.7651589441979714,29.950123810469577,2,5,3,D,59
BTCUSD_,0.8421264836142363,32.96281464076576,2,5,4,D,59
BTCUSD_,0.9387370027549332,36.744377976852135,2,5,5,D,59
BTCUSD_,1.0461433764890065,40.94851649704012,2,5,6,D,59
BTCUSD_,0.8483902766390079,33.20799425741613,2,6,1,D,59
BTCUSD_,0.8932823744436295,34.96517673245004,2,6,2,D,59
BTCUSD_,0.7715724591415111,30.20116389576931,2,6,3,D,59
BTCUSD_,0.7717090839326769,30.206511711987137,2,6,4,D,59
BTCUSD_,0.9065747216305535,35.4854705184652,2,6,5,D,59
BTCUSD_,1.0048350075699666,39.33160961394722,2,6,6,D,59
BTCUSD_,0.8815881952349806,34.50743900643029,3,1,1,D,59
BTCUSD_,5.264540159646886,206.06650524341026,3,1,2,D,59
BTCUSD_,0.7224029816902017,28.27655470374529,3,1,3,D,59
BTCUSD_,0.987245800254025,38.643126598967044,3,1,4,D,59
BTCUSD_,1.075689785091624,42.10503254186095,3,1,5,D,59
BTCUSD_,1.10701280568247,43.331089365645525,3,1,6,D,59
BTCUSD_,0.8941691878804489,34.99988869972289,3,2,1,D,59
BTCUSD_,22.73226780131563,889.7945195632456,3,2,2,D,59
BTCUSD_,0.729331949413275,28.547770825256247,3,2,3,D,59
BTCUSD_,0.8454559071499176,33.09313612216158,3,2,4,D,59
BTCUSD_,1.040376559905667,40.72278970919694,3,2,5,D,59
BTCUSD_,1.1670246198983574,45.6800931634652,3,2,6,D,59
BTCUSD_,0.8952395980163318,35.04178707435573,3,3,1,D,59
BTCUSD_,20.00622004165844,783.090587610172,3,3,2,D,59
BTCUSD_,0.8421023632710316,32.96187051370456,3,3,3,D,59
BTCUSD_,0.8596094500725647,33.6471391382727,3,3,4,D,59
BTCUSD_,1.1150328102622462,43.64501124023932,3,3,5,D,59
BTCUSD_,1.3447768607477057,52.63773465925484,3,3,6,D,59
BTCUSD_,0.9074494178119376,35.51970818781174,3,4,1,D,59
BTCUSD_,44.28844019365213,1733.5538939073874,3,4,2,D,59
BTCUSD_,0.9109642394819873,35.65728658898962,3,4,3,D,59
BTCUSD_,0.8806068171782355,34.469025557136824,3,4,4,D,59
BTCUSD_,1.0521360319899375,41.183083152200254,3,4,5,D,59
BTCUSD_,1.1808385719567511,46.22080379306445,3,4,6,D,59
BTCUSD_,0.8499839500973264,33.27037439131123,3,5,1,D,59
BTCUSD_,2.921257235233682,114.34489074578708,3,5,2,D,59
BTCUSD_,0.7903029198801383,30.934318258536425,3,5,3,D,59
BTCUSD_,0.8815394105979723,34.5055294607999,3,5,4,D,59
BTCUSD_,0.9695746965235851,37.9514379653733,3,5,5,D,59
BTCUSD_,1.0891160935357098,42.63056988709766,3,5,6,D,59
BTCUSD_,0.839895800276946,32.87550043939571,3,6,1,D,59
BTCUSD_,1.7089994349178077,66.89426433021966,3,6,2,D,59
BTCUSD_,0.8742657323794645,34.22082055835065,3,6,3,D,59
BTCUSD_,0.869270249359621,34.02528558346484,3,6,4,D,59
BTCUSD_,0.9715584205867294,38.02908559891074,3,6,5,D,59
BTCUSD_,1.1487174556663604,44.96350762326527,3,6,6,D,59
BTCUSD_,0.9011113898097318,35.27162283924503,4,1,1,D,59
BTCUSD_,2957.732051073428,115772.60097337846,4,1,2,D,59
BTCUSD_,0.9562095033484281,37.42829281575165,4,1,3,D,59
BTCUSD_,0.9399147512241216,36.79047782674248,4,1,4,D,59
BTCUSD_,1.071357091431514,41.935440704064234,4,1,5,D,59
BTCUSD_,1.3043212817054668,51.054207981135264,4,1,6,D,59
BTCUSD_,0.9011304941256122,35.27237062717886,4,2,1,D,59
BTCUSD_,497.6880519562898,19480.682919685874,4,2,2,D,59
