Forex,order,n_b,n_c,1,2,3,4,5,6,7,8,9,10,11,12,MAE
BTCUSD_,1,1,1,9.135087415462797,13.733293171958799,0.5346462816232153,4.133737162514766,1.2533469972460454,0.5553303814351138,4.282581167874305,1.7082483728218527,0.29951400272441814,0.9098207030491449,0.4283642806743429,14.312256372715995,4.273852192508399
BTCUSD_,1,1,2,9.140316715599266,13.481568908880565,0.2932152110406917,3.753232693990046,1.2128470190022664,0.5243433607782702,4.289797812059969,1.7330869091557906,0.12198224814901168,0.8897072424183885,0.33135696852333013,14.428856619557454,4.183359309096254
BTCUSD_,1,1,3,10.813442134925676,13.806184823414961,0.9340717050951745,2.205757387589011,1.3751606249198702,1.511952893936472,3.6932068046655226,1.4290808646445434,0.0020247519944786058,0.5822162670266686,0.22561488411034894,15.104882933555377,4.306966339656508
BTCUSD_,1,1,4,9.701250840900387,15.24692600842969,1.211075462353681,3.1117342325915107,1.9390532225663708,2.66107568395873,3.337654285009596,1.4825311979445168,0.5055763280191905,0.34050762579307065,4.107357554853505,15.205677604021881,4.904201670536844
BTCUSD_,1,1,5,9.061979046285998,17.801945973053645,6.458394492579912,7.047112102682819,7.582110133805964,0.7274649604102715,10.132196366912204,3.316156451731805,0.8051890829761963,1.7687211826107794,2.5641740232171797,17.404120312377717,7.055797010720376
BTCUSD_,1,1,6,10.268793509615321,24.180469975994033,6.720597483529477,3.6445592422863786,0.5026987929643882,1.2121974010467647,9.004501488847913,2.512980601358938,2.6937934821678047,10.53829102011212,3.1727854008237766,14.037394813817478,7.374088601047034
BTCUSD_,1,2,1,9.252905690871275,13.169982058729696,1.1588778268425268,4.105502031240057,0.629270717712212,1.3705571120996851,4.113557103360737,2.504939577376404,0.2225733837953099,1.3276692489743436,0.3906618109904181,15.066112598379819,4.44271743003104
BTCUSD_,1,2,2,9.19525748608771,11.615080078750351,1.2209679037337913,0.31650483545006836,0.8517755786036134,1.7724910586882932,4.454458443573903,2.931900631670199,0.17216415834675042,1.0575284924887076,0.6502894510643398,15.108703584476585,4.112260141911192
BTCUSD_,1,2,3,10.114149586275518,11.054343106828199,1.1770507388429103,1.5010209351342458,2.9634221726057213,3.0389261549506905,3.384711100474612,2.547768142420138,0.049105934855392386,1.3195959903787313,0.7297227947894377,15.651301961229484,4.460926551565423
BTCUSD_,1,2,4,8.420795081039174,12.20198511990446,0.5204923859714508,0.4138525947350933,3.581162760117438,4.2905983478480145,2.909228182613703,2.124758718011528,0.5581223358605687,1.462448284411361,1.6605229647014157,15.99035514321818,4.511193493202699
