Forex,MAE,EVR,order,n_b,n_c,frequency,N
BTCUSD_,4.249175309896672,164.2654811721158,1,1,1,D,179
BTCUSD_,2.1853527117436777,84.48180847922997,1,1,2,D,179
BTCUSD_,2.3312294615211724,90.12114146655432,1,1,3,D,179
BTCUSD_,2.3584284448199653,91.1726052808532,1,1,4,D,179
BTCUSD_,2.459225376938051,95.0692335316309,1,1,5,D,179
BTCUSD_,2.496692822214887,96.51765763226868,1,1,6,D,179
BTCUSD_,5.720755997992505,221.1541459562321,1,2,1,D,179
BTCUSD_,2.196325447268554,84.9059947152203,1,2,2,D,179
BTCUSD_,2.3572987559378693,91.12893353886598,1,2,3,D,179
BTCUSD_,2.371962603984625,91.69581155155349,1,2,4,D,179
BTCUSD_,2.462987516598324,95.21467108985357,1,2,5,D,179
BTCUSD_,2.541381443694368,98.24523942752862,1,2,6,D,179
BTCUSD_,6.78308795515564,262.2219902745126,1,3,1,D,179
BTCUSD_,2.1893342707892853,84.63572839656513,1,3,2,D,179
BTCUSD_,2.3762815154137518,91.86277290577037,1,3,3,D,179
BTCUSD_,2.372144673495798,91.70285003165337,1,3,4,D,179
BTCUSD_,2.459743285539623,95.08925494742003,1,3,5,D,179
BTCUSD_,2.4412516284808694,94.37440071738833,1,3,6,D,179
BTCUSD_,5.621953414297752,217.33461563140267,1,4,1,D,179
BTCUSD_,2.1660091903209335,83.73402270379499,1,4,2,D,179
BTCUSD_,2.332590478646921,90.17375594271488,1,4,3,D,179
BTCUSD_,2.325294425057547,89.89170362288597,1,4,4,D,179
BTCUSD_,2.4386265247308763,94.27291892405893,1,4,5,D,179
BTCUSD_,2.4245089081750715,93.7271572391641,1,4,6,D,179
BTCUSD_,5.081809984197663,196.45364133017858,1,5,1,D,179
BTCUSD_,2.1914146854328957,84.71615348791738,1,5,2,D,179
BTCUSD_,2.367670386442342,91.5298821350297,1,5,3,D,179
BTCUSD_,2.32770725615895,89.98497933710182,1,5,4,D,179
BTCUSD_,2.4869734527947127,96.1419242774278,1,5,5,D,179
BTCUSD_,2.477764019934222,95.78590415356344,1,5,6,D,179
BTCUSD_,5.723970916821581,221.27842894054612,1,6,1,D,179
BTCUSD_,2.185338815638484,84.48127128077624,1,6,2,D,179
BTCUSD_,2.3408869791599582,90.49448374268223,1,6,3,D,179
BTCUSD_,2.319928154716691,89.68425325537882,1,6,4,D,179
BTCUSD_,2.3984011434135306,92.71787797245688,1,6,5,D,179
BTCUSD_,2.3714042894062604,91.67422811331623,1,6,6,D,179
BTCUSD_,4.995811785538359,193.1291055197111,2,1,1,D,179
BTCUSD_,2.4724699031496797,95.58124311287426,2,1,2,D,179
BTCUSD_,2.5221585072662758,97.50211525128032,2,1,3,D,179
BTCUSD_,2.323113888382059,89.80740799371335,2,1,4,D,179
BTCUSD_,2.4545325529879034,94.88781739131971,2,1,5,D,179
BTCUSD_,2.4234257491450655,93.68528425763861,2,1,6,D,179
BTCUSD_,6.023551117505424,232.8596611152589,2,2,1,D,179
BTCUSD_,2.1795217318180224,84.25639327431671,2,2,2,D,179
BTCUSD_,2.5477116903046,98.48995538522188,2,2,3,D,179
BTCUSD_,2.3294172858832325,90.05108601310168,2,2,4,D,179
BTCUSD_,2.459124831537355,95.06534662713285,2,2,5,D,179
BTCUSD_,2.505655263450165,96.86412950377769,2,2,6,D,179
BTCUSD_,7.24265814964437,279.98814808735415,2,3,1,D,179
BTCUSD_,2.4428942042946367,94.43789974643092,2,3,2,D,179
BTCUSD_,2.5123095507035273,97.12137229039212,2,3,3,D,179
BTCUSD_,2.337633531909432,90.3687113188354,2,3,4,D,179
BTCUSD_,2.458850833310287,95.05475434808407,2,3,5,D,179
BTCUSD_,2.4305123139937117,93.9592381192289,2,3,6,D,179
BTCUSD_,20.855842365217853,806.2493852379125,2,4,1,D,179
BTCUSD_,2.1661361544025604,83.73893090702009,2,4,2,D,179
BTCUSD_,2.445648730560634,94.54438478164032,2,4,3,D,179
BTCUSD_,2.301685461638359,88.97902352541028,2,4,4,D,179
BTCUSD_,2.43803871417972,94.25019522452155,2,4,5,D,179
BTCUSD_,2.413472882301882,93.30052431204876,2,4,6,D,179
BTCUSD_,8.43929813684925,326.2480994784357,2,5,1,D,179
BTCUSD_,2.190531963764157,84.68202905456705,2,5,2,D,179
BTCUSD_,2.438567845569665,94.27065049314041,2,5,3,D,179
BTCUSD_,2.3134533388360423,89.43394850950062,2,5,4,D,179
BTCUSD_,2.492368115559227,96.35047224500879,2,5,5,D,179
BTCUSD_,2.463929756768171,95.25109640149442,2,5,6,D,179
BTCUSD_,8.656229488758415,334.6342756900129,2,6,1,D,179
BTCUSD_,2.0504239796552177,79.26570618078341,2,6,2,D,179
BTCUSD_,2.406591093883961,93.03448673926106,2,6,3,D,179
BTCUSD_,2.3163871454914826,89.54736420237623,2,6,4,D,179
BTCUSD_,2.3974068605023775,92.67944078196456,2,6,5,D,179
BTCUSD_,2.3027773967034757,89.0212357726815,2,6,6,D,179
BTCUSD_,2.193328135928672,84.79012404537018,3,1,1,D,179
BTCUSD_,2.517161822677408,97.30895240475243,3,1,2,D,179
BTCUSD_,2.505826139260497,96.87073525551955,3,1,3,D,179
BTCUSD_,2.283609023127665,88.28022089824601,3,1,4,D,179
BTCUSD_,2.4665236388723306,95.35137122210517,3,1,5,D,179
BTCUSD_,2.395705683801894,92.61367634795478,3,1,6,D,179
BTCUSD_,2.1863726599252673,84.52123784295361,3,2,1,D,179
BTCUSD_,2.4686632677027758,95.43408542750502,3,2,2,D,179
BTCUSD_,2.5635470118645807,99.10212045864377,3,2,3,D,179
BTCUSD_,2.2645256821116226,87.54249322975686,3,2,4,D,179
BTCUSD_,2.4778056607453234,95.78751391248679,3,2,5,D,179
BTCUSD_,2.4937161327226742,96.40258416598935,3,2,6,D,179
BTCUSD_,2.213357082380608,85.56440712063774,3,3,1,D,179
BTCUSD_,2.5979778267991716,100.43315388746132,3,3,2,D,179
BTCUSD_,2.52565445777006,97.63726241508891,3,3,3,D,179
BTCUSD_,2.2862295611083314,88.38152618713852,3,3,4,D,179
BTCUSD_,2.4810068386696007,95.91126569811547,3,3,5,D,179
BTCUSD_,2.196672276794891,84.91940252141171,3,3,6,D,179
BTCUSD_,2.2106982689642343,85.46162217218662,3,4,1,D,179
BTCUSD_,2.5887305294877163,100.07566999196992,3,4,2,D,179
BTCUSD_,2.47312061922753,95.6063986270244,3,4,3,D,179
BTCUSD_,2.4317955952921593,94.00884746800716,3,4,4,D,179
BTCUSD_,2.4453632592618253,94.53334897425661,3,4,5,D,179
BTCUSD_,2.1987080858244212,84.9981032398856,3,4,6,D,179
BTCUSD_,2.2282845367858255,86.14147568140925,3,5,1,D,179
BTCUSD_,2.4695788630045867,95.46948069643183,3,5,2,D,179
BTCUSD_,2.4676331092946255,95.39426135477163,3,5,3,D,179
BTCUSD_,2.379285164513612,91.97888858203149,3,5,4,D,179
BTCUSD_,2.4865071498396714,96.12389784319163,3,5,5,D,179
BTCUSD_,2.2716383594306286,87.81745655252381,3,5,6,D,179
BTCUSD_,2.1973733064827887,84.94650306930635,3,6,1,D,179
BTCUSD_,2.304487508469008,89.08734562024863,3,6,2,D,179
BTCUSD_,2.410432333724912,93.18298216831563,3,6,3,D,179
BTCUSD_,2.4623371771889055,95.18953013702809,3,6,4,D,179
BTCUSD_,2.3180008399086725,89.60974672853068,3,6,5,D,179
BTCUSD_,2.061658323619073,79.70000572888104,3,6,6,D,179
BTCUSD_,2.2573371206825783,87.26459636366921,4,1,1,D,179
BTCUSD_,4.516515698391973,174.60038014666264,4,1,2,D,179
BTCUSD_,2.531986289059432,97.88203963362984,4,1,3,D,179
BTCUSD_,2.444288428437615,94.49179794620034,4,1,4,D,179
BTCUSD_,2.52507785631867,97.61497203920433,4,1,5,D,179
BTCUSD_,2.359217506756114,91.20310899726005,4,1,6,D,179
BTCUSD_,2.2549641813298456,87.1728627927664,4,2,1,D,179
BTCUSD_,3.923131199674465,151.66120181366128,4,2,2,D,179
BTCUSD_,2.4969418959175935,96.52728637399818,4,2,3,D,179
