timestamp,open,high,low,close,volume,trades
2018-08-03,400.0,435.5,400.0,410.8,4419143,10715
2018-08-04,410.8,422.1,397.0,417.7,8074096,10589
2018-08-05,417.7,419.5,402.1,407.05,6178493,7100
2018-08-06,407.05,413.5,400.5,409.15,4235913,6375
2018-08-07,409.15,413.5,397.0,405.6,6122651,9179
2018-08-08,405.6,412.0,368.95,378.7,12590581,16469
2018-08-09,378.7,381.2,344.0,356.05,26465774,28794
2018-08-10,356.05,369.75,351.05,363.35,11906454,17186
2018-08-11,363.35,365.55,324.45,331.75,14579999,17011
2018-08-12,331.75,333.0,304.4,317.0,37598328,30293
2018-08-13,317.0,328.6,312.35,318.6,17178431,16858
2018-08-14,318.6,322.25,279.15,284.3,52228960,36055
2018-08-15,284.3,284.35,243.9,278.6,132361904,89489
2018-08-16,278.6,305.85,274.1,280.15,109913113,70585
2018-08-17,280.15,301.1,277.1,286.8,65461224,43319
2018-08-18,286.8,318.85,284.75,317.4,78126744,55038
2018-08-19,317.4,321.6,282.5,294.35,80133628,59023
2018-08-20,294.35,309.0,289.05,300.0,58050309,50015
2018-08-21,300.0,305.0,265.15,270.85,81636147,56918
2018-08-22,270.85,285.6,269.35,281.35,62114010,49347
2018-08-23,281.35,339.35,258.5,270.6,81594853,70223
2018-08-24,270.6,282.5,268.0,276.3,67740778,62168
2018-08-25,276.3,289.0,268.35,282.0,49502874,51458
2018-08-26,282.0,284.05,276.9,278.05,20218139,27372
2018-08-27,278.05,278.2,269.65,274.45,27789712,34080
2018-08-28,274.45,294.35,271.55,288.3,41926784,40414
2018-08-29,288.3,298.0,283.0,295.7,63421547,57102
2018-08-30,295.7,297.0,282.3,288.8,69361371,50451
2018-08-31,288.8,290.8,272.05,283.8,88833865,65199
2018-09-01,283.8,284.95,276.9,281.45,53502176,39980
2018-09-02,281.45,303.2,281.3,296.65,72587069,56945
2018-09-03,296.65,299.55,288.25,295.4,73756165,64377
2018-09-04,295.4,296.5,285.4,288.9,53447067,46468
2018-09-05,288.9,292.0,282.35,284.95,53165802,46142
2018-09-06,284.95,287.4,226.0,228.75,202740034,96470
2018-09-07,228.75,232.2,206.2,229.25,182281209,115477
2018-09-08,229.25,235.0,213.05,215.05,137539429,109426
2018-09-09,215.05,220.0,188.8,196.45,183777928,102686
2018-09-10,196.45,215.85,184.5,195.9,224656595,151152
2018-09-11,195.9,204.8,186.35,197.0,198000759,131094
2018-09-12,197.0,200.15,176.0,185.1,238422002,135558
2018-09-13,185.1,185.15,166.35,182.95,443627649,211028
2018-09-14,182.95,214.9,182.95,211.7,595480865,259397
2018-09-15,211.7,223.95,203.0,209.25,698808372,306178
2018-09-16,209.25,227.5,208.35,221.65,452362390,250378
2018-09-17,221.65,223.7,205.7,220.3,411634763,206581
2018-09-18,220.3,224.9,192.2,196.0,647244533,305855
2018-09-19,196.0,214.9,193.65,208.5,509982068,250660
2018-09-20,208.5,214.5,197.5,209.75,466590788,235143
2018-09-21,209.75,228.45,206.55,224.25,303137384,182422
2018-09-22,224.25,258.45,220.0,247.8,432409105,246868
2018-09-23,247.8,256.5,232.9,240.6,296695786,247807
2018-09-24,240.6,250.1,236.7,244.55,200962876,183220
2018-09-25,244.55,246.0,225.2,227.85,307302119,221197
2018-09-26,227.85,227.95,202.0,219.25,529576988,304066
2018-09-27,219.25,222.9,206.85,214.1,434540453,260374
2018-09-28,214.1,235.0,210.0,229.2,334084999,208766
2018-09-29,229.2,234.0,213.9,221.35,351756957,208724
2018-09-30,221.35,243.5,211.5,231.2,408964678,289148
2018-10-01,231.2,238.4,225.0,232.25,271858006,199458
2018-10-02,232.25,235.35,223.4,230.45,251858444,164106
2018-10-03,230.45,230.95,222.25,224.8,183616970,116628
2018-10-04,224.8,225.3,215.2,219.2,285011221,165501
2018-10-05,219.2,225.9,218.2,221.2,196849176,120013
2018-10-06,221.2,231.5,218.35,226.2,190617082,101227
2018-10-07,226.2,227.15,222.25,223.95,117491266,69576
2018-10-08,223.95,226.0,220.4,224.8,115949403,64248
2018-10-09,224.8,230.3,222.8,227.95,154697366,84175
2018-10-10,227.95,229.0,225.15,226.5,111986354,55871
2018-10-11,226.5,226.55,221.5,223.5,180640387,79227
2018-10-12,223.5,223.55,184.2,188.45,580456079,258837
2018-10-13,188.45,199.0,185.0,194.0,337256487,172575
2018-10-14,194.0,199.0,193.35,197.5,158115656,90336
2018-10-15,197.5,198.9,189.2,192.05,148659339,81662
2018-10-16,192.05,222.0,189.55,204.2,475464837,218475
2018-10-17,204.2,208.0,202.15,205.65,169160117,101845
2018-10-18,205.65,206.55,201.1,203.25,139633627,78027
2018-10-19,203.25,204.5,196.4,199.05,190751239,101927
2018-10-20,199.05,201.9,197.15,200.05,139017628,75423
2018-10-21,200.05,205.0,199.3,202.6,112896569,60487
2018-10-22,202.6,204.7,201.5,202.25,115953739,56327
2018-10-23,202.25,202.85,200.0,201.1,123143911,56139
2018-10-24,201.1,202.6,197.25,201.05,154833607,66734
2018-10-25,201.05,202.5,200.1,200.55,99302323,43973
2018-10-26,200.55,201.5,198.55,199.9,102094162,43585
2018-10-27,199.9,207.3,198.65,200.6,156633033,66421
2018-10-28,200.6,202.0,200.05,201.65,56839501,30717
2018-10-29,201.65,204.0,200.75,202.35,72823762,35685
2018-10-30,202.35,202.6,192.0,194.15,195136340,81381
2018-10-31,194.15,196.85,193.55,195.5,106201406,52247
2018-11-01,195.5,198.8,192.45,196.9,142599387,65247
2018-11-02,196.9,198.45,196.35,197.55,60271675,30540
2018-11-03,197.55,201.7,197.55,199.75,115510426,53320
2018-11-04,199.75,199.9,198.0,198.55,59554818,32290
2018-11-05,198.55,219.0,198.05,210.6,303617809,139831
2018-11-06,210.6,212.0,205.6,208.8,235553273,117462
2018-11-07,208.8,219.0,207.1,218.4,377400598,188882
2018-11-08,218.4,223.8,216.05,217.2,344051508,174524
2018-11-09,217.2,218.9,210.0,210.9,283695712,146708
2018-11-10,210.9,212.9,206.5,208.0,202319739,113400
2018-11-10,208.0,212.2,207.8,210.6,117440757,64793
2018-11-11,210.6,211.3,206.55,210.3,134547028,67322
2018-11-12,210.3,212.15,207.1,209.1,186686922,78684
2018-11-13,209.1,209.15,202.5,203.35,268686608,104597
2018-11-14,203.35,205.3,162.45,177.95,681853098,230186
2018-11-15,177.95,181.0,165.65,178.1,443480678,196901
2018-11-16,178.1,179.45,170.0,172.0,216888563,88229
2018-11-17,172.0,173.95,170.1,172.2,109431077,54480
2018-11-18,172.2,181.0,172.2,175.55,125080945,61650
2018-11-19,175.55,175.75,141.35,145.05,749406703,259805
2018-11-20,145.05,149.3,120.4,127.45,973767034,263863
2018-11-21,127.45,137.4,122.3,134.7,516064711,180990
2018-11-22,134.7,137.0,122.4,123.25,281786933,100026
2018-11-23,123.25,125.5,115.3,121.3,446367734,160078
2018-11-24,121.3,126.5,107.4,111.05,347854607,131586
2018-11-25,111.05,127.4,97.6,114.15,716321973,240459
2018-11-26,114.15,118.4,102.6,106.9,504743121,174935
2018-11-27,106.9,112.0,98.55,108.7,394463845,149500
2018-11-28,108.7,125.8,108.65,122.0,385994494,147459
2018-11-29,122.0,122.95,112.8,116.15,332000166,132707
2018-11-30,116.15,119.25,108.15,111.55,238853760,103918
2018-12-01,111.55,120.0,109.8,116.9,223171207,90720
2018-12-02,116.9,119.5,113.55,115.0,158866152,74294
2018-12-03,115.0,116.0,103.5,107.15,228412460,83432
2018-12-04,107.15,112.4,104.65,108.65,163363491,77253
2018-12-05,108.65,109.2,100.25,100.7,197121211,75662
2018-12-06,100.7,103.0,88.75,89.05,511865620,168346
2018-12-07,89.05,97.85,80.6,92.3,805260863,240755
2018-12-08,92.3,98.0,83.3,90.35,492656212,166262
2018-12-09,90.35,97.95,87.65,92.8,347894179,111285
2018-12-10,92.8,95.0,87.65,89.35,285408009,84626
2018-12-11,89.35,91.2,84.6,86.9,281470397,73177
2018-12-12,86.9,91.3,86.05,89.05,264305436,68177
2018-12-13,89.05,90.3,83.6,85.3,295460805,80644
