Forex,MAE,EVR,order,n_b,n_c,frequency,N
ETHUSD_,13.342827326434097,84.17501784641092,1,1,1,W,59
ETHUSD_,13.105398804239096,82.67716813254879,1,1,2,W,59
ETHUSD_,13.624292213037643,85.95067687829044,1,1,3,W,59
ETHUSD_,16.875509869274165,106.46142003196167,1,1,4,W,59
ETHUSD_,17.510755419037746,110.46895188259629,1,1,5,W,59
ETHUSD_,19.116880565620644,120.60140803822249,1,1,6,W,59
ETHUSD_,13.420100904487635,84.66250858975782,1,2,1,W,59
ETHUSD_,13.092775587321546,82.59753287359517,1,2,2,W,59
ETHUSD_,13.528764150894702,85.34802527087702,1,2,3,W,59
ETHUSD_,16.95630729316797,106.97114142996935,1,2,4,W,59
ETHUSD_,17.37607413868377,109.61929694065503,1,2,5,W,59
ETHUSD_,19.555106509164567,123.36601524748241,1,2,6,W,59
ETHUSD_,14.297196046892395,90.1957810708199,1,3,1,W,59
ETHUSD_,13.808469575652667,87.11258450144544,1,3,2,W,59
ETHUSD_,15.41691751175847,97.25969428667807,1,3,3,W,59
ETHUSD_,21.833995803046196,137.7426943642425,1,3,4,W,59
ETHUSD_,22.79924763420497,143.83211515387546,1,3,5,W,59
ETHUSD_,26.08706681293803,164.57376392702122,1,3,6,W,59
ETHUSD_,14.039813864501633,88.57205101226113,1,4,1,W,59
ETHUSD_,14.89156145947954,93.945415086745,1,4,2,W,59
ETHUSD_,16.913402018920742,106.70046774611596,1,4,3,W,59
ETHUSD_,28.5226267875522,179.93882107071897,1,4,4,W,59
ETHUSD_,29.313625822541997,184.9289446972798,1,4,5,W,59
ETHUSD_,31.497466324492482,198.70599574711338,1,4,6,W,59
ETHUSD_,13.513328563819426,85.25064779714197,1,5,1,W,59
ETHUSD_,13.073805023017966,82.4778545213432,1,5,2,W,59
ETHUSD_,14.21722195780882,89.6912537910189,1,5,3,W,59
ETHUSD_,23.625088036395827,149.0420402238779,1,5,4,W,59
ETHUSD_,21.02627257653977,132.64706392979625,1,5,5,W,59
ETHUSD_,21.18999509491674,133.6799294214254,1,5,6,W,59
ETHUSD_,14.309274413212785,90.2719790666195,1,6,1,W,59
ETHUSD_,13.604955488075936,85.82868855235908,1,6,2,W,59
ETHUSD_,14.786262179888366,93.28112044199297,1,6,3,W,59
ETHUSD_,19.91834784082464,125.65757196383633,1,6,4,W,59
ETHUSD_,22.016848398232536,138.89624451418558,1,6,5,W,59
ETHUSD_,20.78940933421302,131.152780359888,1,6,6,W,59
ETHUSD_,69.22413791604122,436.70976937108014,2,1,1,W,59
ETHUSD_,16.343926496718275,103.10785494586489,2,1,2,W,59
ETHUSD_,15.438365995837339,97.39500492856432,2,1,3,W,59
ETHUSD_,17.843882254819025,112.57052725796326,2,1,4,W,59
ETHUSD_,17.971922076979066,113.37828366908164,2,1,5,W,59
ETHUSD_,18.7857532084592,118.51244664221616,2,1,6,W,59
ETHUSD_,35.56717172989148,224.38027877185274,2,2,1,W,59
ETHUSD_,15.645235559245657,98.70006934750319,2,2,2,W,59
ETHUSD_,15.29033622354229,96.46113923279458,2,2,3,W,59
ETHUSD_,17.79320651774501,112.25083256595939,2,2,4,W,59
ETHUSD_,18.05487620912395,113.90161095069125,2,2,5,W,59
ETHUSD_,19.00372944630514,119.88757900823464,2,2,6,W,59
ETHUSD_,51.06039428904677,322.12135369617675,2,3,1,W,59
ETHUSD_,16.52391495999341,104.2433363350542,2,3,2,W,59
ETHUSD_,16.873342648260003,106.44774782718218,2,3,3,W,59
ETHUSD_,21.64921360531807,136.57697105756003,2,3,4,W,59
ETHUSD_,23.46739355953866,148.047203441614,2,3,5,W,59
ETHUSD_,26.184884995276164,165.1908630652004,2,3,6,W,59
ETHUSD_,14.155521727536742,89.30200960332034,2,4,1,W,59
ETHUSD_,15.282010034062145,96.40861234842913,2,4,2,W,59
ETHUSD_,17.92104105927935,113.05729393668572,2,4,3,W,59
ETHUSD_,28.258610800202877,178.27324076280036,2,4,4,W,59
ETHUSD_,29.801085706908594,188.00415083328946,2,4,5,W,59
ETHUSD_,30.047809585782023,189.56064155292594,2,4,6,W,59
ETHUSD_,547.9037702114357,3456.524506188679,2,5,1,W,59
ETHUSD_,15.758013011271116,99.41154104721623,2,5,2,W,59
ETHUSD_,16.83473138282763,106.20416347453127,2,5,3,W,59
ETHUSD_,29.429519548607598,185.66007583022432,2,5,4,W,59
ETHUSD_,22.937513286211953,144.70438258569447,2,5,5,W,59
ETHUSD_,21.068623392399406,132.91423973845951,2,5,6,W,59
ETHUSD_,34.211902374861964,215.8303800618324,2,6,1,W,59
ETHUSD_,13.232118260077206,83.47659483542819,2,6,2,W,59
ETHUSD_,15.344000151539738,96.79968532848935,2,6,3,W,59
ETHUSD_,20.47834303868685,129.1903768649812,2,6,4,W,59
ETHUSD_,22.752222659296148,143.53545178521034,2,6,5,W,59
ETHUSD_,20.414322388293883,128.786493995367,2,6,6,W,59
ETHUSD_,13.380006489581397,84.40956758949562,3,1,1,W,59
ETHUSD_,22.63201997412715,142.77713700516057,3,1,2,W,59
