Forex,MAE,EVR,order,n_b,n_c,frequency,N
XRPUSD_,13.40098000236189,83.19163935339002,1,1,1,W,59
XRPUSD_,16.948867337780325,105.21648855267021,1,1,2,W,59
XRPUSD_,16.825683801129312,104.45178027360853,1,1,3,W,59
XRPUSD_,19.78199603391627,122.80420383089175,1,1,4,W,59
XRPUSD_,22.361322069926434,138.8163433404461,1,1,5,W,59
XRPUSD_,21.11651627941443,131.08874174929127,1,1,6,W,59
XRPUSD_,14.880481099929993,92.37620061011432,1,2,1,W,59
XRPUSD_,15.802907499816222,98.10251050505157,1,2,2,W,59
XRPUSD_,20.66802608063684,128.3045696317551,1,2,3,W,59
XRPUSD_,23.1502703148315,143.71403722903221,1,2,4,W,59
XRPUSD_,25.1394852996017,156.06283974796702,1,2,5,W,59
XRPUSD_,25.380990582610806,157.56207490856656,1,2,6,W,59
XRPUSD_,14.890474329527573,92.43823735313691,1,3,1,W,59
XRPUSD_,21.085643032305196,130.8970844198477,1,3,2,W,59
XRPUSD_,22.739383056258493,141.16329954984127,1,3,3,W,59
XRPUSD_,25.946375864585146,161.07191735780788,1,3,4,W,59
XRPUSD_,26.499310079273616,164.50446510927128,1,3,5,W,59
XRPUSD_,24.598622948994556,152.7052326473217,1,3,6,W,59
XRPUSD_,14.781151622287135,91.7595754021244,1,4,1,W,59
XRPUSD_,21.344135804061548,132.50177582597038,1,4,2,W,59
XRPUSD_,22.920942782348572,142.29040004930653,1,4,3,W,59
XRPUSD_,25.16935342906416,156.24825743040245,1,4,4,W,59
XRPUSD_,25.53324087682378,158.5072260516457,1,4,5,W,59
XRPUSD_,24.02197140306129,149.12545061396293,1,4,6,W,59
XRPUSD_,13.96499972424865,86.69300457318235,1,5,1,W,59
XRPUSD_,19.16846452222006,118.99547549580167,1,5,2,W,59
XRPUSD_,18.464527937756195,114.62552356302858,1,5,3,W,59
XRPUSD_,22.59509745902154,140.26759226820147,1,5,4,W,59
XRPUSD_,22.285333958271426,138.34461846817302,1,5,5,W,59
XRPUSD_,23.427470585500554,145.43486249271425,1,5,6,W,59
XRPUSD_,15.69057009428864,97.40513367702115,1,6,1,W,59
XRPUSD_,22.606243660234355,140.33678651752453,1,6,2,W,59
XRPUSD_,27.035357651348207,167.83218265563207,1,6,3,W,59
XRPUSD_,23.053312068121986,143.11213233169087,1,6,4,W,59
XRPUSD_,23.26167497451965,144.40562368535333,1,6,5,W,59
XRPUSD_,23.643018753875293,146.77295907099096,1,6,6,W,59
XRPUSD_,14.632882944353765,90.83914164430497,2,1,1,W,59
XRPUSD_,20.188851507672734,125.32991268470208,2,1,2,W,59
XRPUSD_,17.670254903841546,109.69477403770249,2,1,3,W,59
XRPUSD_,19.942952472327082,123.80340164877661,2,1,4,W,59
XRPUSD_,21.798800809074336,135.3242803828733,2,1,5,W,59
XRPUSD_,21.306999004826014,132.27123513355858,2,1,6,W,59
XRPUSD_,17.619946308985917,109.38246445445799,2,2,1,W,59
XRPUSD_,21.76939491025938,135.14173217157494,2,2,2,W,59
XRPUSD_,21.6830118799502,134.6054769199092,2,2,3,W,59
XRPUSD_,20.494943466401576,127.23009400241575,2,2,4,W,59
XRPUSD_,23.370797554353718,145.08304326998575,2,2,5,W,59
XRPUSD_,24.40428976869332,151.49883611160803,2,2,6,W,59
XRPUSD_,18.335487572238183,113.82445680908133,2,3,1,W,59
XRPUSD_,24.322144949397714,150.9888911538225,2,3,2,W,59
XRPUSD_,18.830452486406987,116.89713825662139,2,3,3,W,59
XRPUSD_,20.793943960126356,129.08625237561336,2,3,4,W,59
XRPUSD_,20.586884385330837,127.80085194459865,2,3,5,W,59
XRPUSD_,25.328365242190767,157.23538325315764,2,3,6,W,59
XRPUSD_,18.227035702300746,113.15120090918103,2,4,1,W,59
XRPUSD_,24.617196443559,152.82053462233137,2,4,2,W,59
XRPUSD_,20.539691745302978,127.50788582655058,2,4,3,W,59
XRPUSD_,24.01045776081014,149.05397533576442,2,4,4,W,59
XRPUSD_,20.795962268769212,129.09878178799144,2,4,5,W,59
XRPUSD_,24.905444505669877,154.60994321955448,2,4,6,W,59
XRPUSD_,17.601409624084912,109.26739098932187,2,5,1,W,59
XRPUSD_,23.406912504161117,145.307240446544,2,5,2,W,59
XRPUSD_,23.220218498703957,144.14826697082097,2,5,3,W,59
XRPUSD_,22.603750097518198,140.32130678618014,2,5,4,W,59
XRPUSD_,22.81320562532836,141.6215809994904,2,5,5,W,59
XRPUSD_,23.948231833175836,148.66768441306544,2,5,6,W,59
XRPUSD_,19.326840316311166,119.97865299043356,2,6,1,W,59
XRPUSD_,23.69129636117617,147.0726605327282,2,6,2,W,59
XRPUSD_,23.016224925123538,142.8818998991053,2,6,3,W,59
XRPUSD_,22.58045516187892,140.17669468436958,2,6,4,W,59
XRPUSD_,22.994330423555414,142.74598152015417,2,6,5,W,59
XRPUSD_,23.87030805219496,148.183943143153,2,6,6,W,59
XRPUSD_,14.583949197230266,90.53536694706712,3,1,1,W,59
XRPUSD_,17.594561827507125,109.22488070849433,3,1,2,W,59
XRPUSD_,19.60670759258117,121.71603469760468,3,1,3,W,59
XRPUSD_,20.611250233631235,127.95211214079242,3,1,4,W,59
XRPUSD_,20.750716108509494,128.8178991774817,3,1,5,W,59
XRPUSD_,25.19158959715808,156.38629683321813,3,1,6,W,59
XRPUSD_,17.604958732279766,109.2894234174667,3,2,1,W,59
XRPUSD_,24.32914419062573,151.0323415844541,3,2,2,W,59
XRPUSD_,21.108052327457493,131.03619857419648,3,2,3,W,59
XRPUSD_,22.30959536025121,138.49523027442555,3,2,4,W,59
XRPUSD_,25.710940897355332,159.6103659726474,3,2,5,W,59
XRPUSD_,24.084187868959877,149.5116827993677,3,2,6,W,59
XRPUSD_,18.34757095809659,113.8994689856776,3,3,1,W,59
XRPUSD_,24.50100842483684,152.09925366011703,3,3,2,W,59
XRPUSD_,22.44281025856678,139.32221201570223,3,3,3,W,59
XRPUSD_,19.651006244625854,121.99103529338898,3,3,4,W,59
XRPUSD_,19.776491475729593,122.77003220916073,3,3,5,W,59
XRPUSD_,23.79507160214665,147.71688449389413,3,3,6,W,59
XRPUSD_,18.23561476482841,113.2044586765731,3,4,1,W,59
XRPUSD_,23.887931374382756,148.29334656464883,3,4,2,W,59
XRPUSD_,22.693070896770028,140.87579934693358,3,4,3,W,59
XRPUSD_,19.633550363091114,121.88267132291982,3,4,4,W,59
XRPUSD_,20.14662411162109,125.06777019194841,3,4,5,W,59
XRPUSD_,24.29013921668175,150.79020349270527,3,4,6,W,59
XRPUSD_,17.598800395409143,109.2511932178942,3,5,1,W,59
XRPUSD_,22.43712129951849,139.28689565605106,3,5,2,W,59
XRPUSD_,23.69184118590792,147.0760427378047,3,5,3,W,59
XRPUSD_,22.574540570436227,140.13997762650246,3,5,4,W,59
XRPUSD_,22.81765914397495,141.64922789673489,3,5,5,W,59
XRPUSD_,24.065207320810035,149.39385388565148,3,5,6,W,59
XRPUSD_,19.211774824972146,119.2643405404628,3,6,1,W,59
XRPUSD_,24.298052694148428,150.83932938971603,3,6,2,W,59
XRPUSD_,23.361510210588524,145.0253885795878,3,6,3,W,59
XRPUSD_,23.019441447511046,142.9018676753714,3,6,4,W,59
XRPUSD_,22.877616195797827,142.02143391682162,3,6,5,W,59
XRPUSD_,23.94781230260283,148.6650800187509,3,6,6,W,59
XRPUSD_,17.62875749293637,109.43716320315797,4,1,1,W,59
XRPUSD_,19.924633989932687,123.68968275802477,4,1,2,W,59
XRPUSD_,18.140405888169678,112.61341365383308,4,1,3,W,59
XRPUSD_,18.4631900078722,114.6172178584928,4,1,4,W,59
XRPUSD_,22.878044564163208,142.02409317506667,4,1,5,W,59
XRPUSD_,21.92680816856689,136.11893436217986,4,1,6,W,59
XRPUSD_,22.466665296378164,139.47030116306433,4,2,1,W,59
XRPUSD_,25.049513815597646,155.50430781612062,4,2,2,W,59
XRPUSD_,21.56950821886292,133.90086012048124,4,2,3,W,59
XRPUSD_,21.731306036492466,134.90528111730612,4,2,4,W,59
XRPUSD_,23.78885297349024,147.67828001031415,4,2,5,W,59
XRPUSD_,26.757834176183156,166.1093509781009,4,2,6,W,59
XRPUSD_,23.027803115066103,142.95377588145115,4,3,1,W,59
