Gmt time,Open,High,Low,Close,Volume
02.09.2012 00:00:00.000,2.7956,2.8040,2.7956,2.8019,3589.0001
03.09.2012 00:00:00.000,2.8006,2.8038,2.7725,2.7927,62862.9997
04.09.2012 00:00:00.000,2.7916,2.8839,2.7596,2.8598,224257.0072
05.09.2012 00:00:00.000,2.8605,2.8659,2.7775,2.7944,233247.9954
06.09.2012 00:00:00.000,2.7935,2.8626,2.7316,2.7386,335108.9954
07.09.2012 00:00:00.000,2.7399,2.7620,2.6648,2.6788,200095.9963
08.09.2012 00:00:00.000,2.6788,2.6788,2.6788,2.6788,0
09.09.2012 00:00:00.000,2.6556,2.6650,2.6488,2.6555,20424.0009
10.09.2012 00:00:00.000,2.6546,2.8425,2.6527,2.8346,241573.0059
11.09.2012 00:00:00.000,2.8337,3.0250,2.7996,3.0149,337884.0089
12.09.2012 00:00:00.000,3.0197,3.0678,2.9475,3.0626,311946.9881
13.09.2012 00:00:00.000,3.0649,3.0659,2.9589,3.0256,351426.0054
14.09.2012 00:00:00.000,3.0250,3.0589,2.9176,2.9547,258704.0067
15.09.2012 00:00:00.000,2.9547,2.9547,2.9547,2.9547,0
16.09.2012 00:00:00.000,2.9289,2.9450,2.9283,2.9427,9842
17.09.2012 00:00:00.000,2.9416,2.9800,2.8535,2.8750,218189.0011
18.09.2012 00:00:00.000,2.8755,2.9127,2.7525,2.7726,262995.9881
19.09.2012 00:00:00.000,2.7715,2.8519,2.7345,2.7798,257297.9927
20.09.2012 00:00:00.000,2.7803,2.8169,2.7445,2.8116,288859.0097
21.09.2012 00:00:00.000,2.8128,2.8969,2.7876,2.8926,284011.9898
22.09.2012 00:00:00.000,2.8926,2.8926,2.8926,2.8926,0
23.09.2012 00:00:00.000,2.8918,2.8979,2.8855,2.8960,6142.0002
24.09.2012 00:00:00.000,2.8947,2.8967,2.8117,2.8596,255374.0144
25.09.2012 00:00:00.000,2.8586,3.1210,2.8406,3.1128,232249.0066
26.09.2012 00:00:00.000,3.1137,3.2169,3.0906,3.1975,284271.0018
27.09.2012 00:00:00.000,3.1996,3.3127,3.1978,3.2898,451103.9853
28.09.2012 00:00:00.000,3.2906,3.3277,3.2465,3.3256,286823.988
29.09.2012 00:00:00.000,3.3256,3.3256,3.3256,3.3256,0
30.09.2012 00:00:00.000,3.3294,3.3529,3.3236,3.3485,27121
01.10.2012 00:00:00.000,3.3498,3.4830,3.3466,3.4766,401264.9953
02.10.2012 00:00:00.000,3.4759,3.5438,3.3958,3.4988,376733.9885
03.10.2012 00:00:00.000,3.5007,3.5227,3.3457,3.4038,328929.9905
04.10.2012 00:00:00.000,3.4049,3.4588,3.3637,3.4046,393790.9901
05.10.2012 00:00:00.000,3.4056,3.4326,3.3337,3.3849,266252.0111
06.10.2012 00:00:00.000,3.3849,3.3849,3.3849,3.3849,0
07.10.2012 00:00:00.000,3.3816,3.3929,3.3816,3.3915,6364
08.10.2012 00:00:00.000,3.3925,3.4276,3.3256,3.4148,245087.9961
09.10.2012 00:00:00.000,3.4179,3.5129,3.3445,3.4757,278165.9961
10.10.2012 00:00:00.000,3.4769,3.5108,3.4285,3.4769,289487.9878
11.10.2012 00:00:00.000,3.4778,3.6309,3.4645,3.6178,350427.0017
12.10.2012 00:00:00.000,3.6188,3.6347,3.5606,3.6016,248824.9987
13.10.2012 00:00:00.000,3.6016,3.6016,3.6016,3.6016,0
14.10.2012 00:00:00.000,3.5938,3.5959,3.5756,3.5879,8028.9999
15.10.2012 00:00:00.000,3.5888,3.5895,3.4445,3.4887,257593.9894
16.10.2012 00:00:00.000,3.4868,3.5159,3.4056,3.4289,349465.0126
17.10.2012 00:00:00.000,3.4300,3.4968,3.3956,3.4879,230140.0006
18.10.2012 00:00:00.000,3.4849,3.5880,3.3986,3.5749,351832.9859
19.10.2012 00:00:00.000,3.5758,3.6439,3.5566,3.5810,275465.0116
20.10.2012 00:00:00.000,3.5810,3.5810,3.5810,3.5810,0
21.10.2012 00:00:00.000,3.6166,3.6349,3.6109,3.6109,9139.0004
22.10.2012 00:00:00.000,3.6118,3.6447,3.4238,3.4377,324452.9963
23.10.2012 00:00:00.000,3.4386,3.5560,3.4366,3.5236,266104.0127
24.10.2012 00:00:00.000,3.5218,3.5585,3.4070,3.4159,285158.9918
25.10.2012 00:00:00.000,3.4179,3.4769,3.3638,3.4256,389129.0128
26.10.2012 00:00:00.000,3.4246,3.4379,3.3526,3.3783,215192.005
27.10.2012 00:00:00.000,3.3783,3.3783,3.3783,3.3783,0
28.10.2012 00:00:00.000,3.3637,3.4240,3.3505,3.4073,11470.0003
29.10.2012 00:00:00.000,3.4061,3.8228,3.3696,3.8037,136418.9982
30.10.2012 00:00:00.000,3.8050,3.8176,3.6487,3.6815,221148.9975
31.10.2012 00:00:00.000,3.6857,3.7758,3.6817,3.6970,288821.9953
01.11.2012 00:00:00.000,3.6947,3.7399,3.6515,3.6729,265585.9888
02.11.2012 00:00:00.000,3.6736,3.6919,3.5296,3.5399,238575.995
03.11.2012 00:00:00.000,3.5399,3.5399,3.5399,3.5399,0
04.11.2012 00:00:00.000,3.5335,3.5337,3.5153,3.5189,5142.9998
05.11.2012 00:00:00.000,3.5197,3.5845,3.5028,3.5517,262145.0126
06.11.2012 00:00:00.000,3.5507,3.6167,3.5108,3.6087,244089.0074
07.11.2012 00:00:00.000,3.6069,3.6110,3.5535,3.5605,198911.9947
08.11.2012 00:00:00.000,3.5590,3.6097,3.5155,3.5845,255558.9974
09.11.2012 00:00:00.000,3.5831,3.6115,3.4798,3.5039,204610.005
10.11.2012 00:00:00.000,3.5039,3.5039,3.5039,3.5039,0
11.11.2012 00:00:00.000,3.4904,3.4970,3.4882,3.4960,3589.0001
