Gmt time,Open,High,Low,Close,Volume
16.11.2006 00:00:00.000,60.720,61.400,58.300,58.570,148919000000
17.11.2006 00:00:00.000,58.470,59.030,57.800,58.960,262829000000
18.11.2006 00:00:00.000,58.960,58.960,58.960,58.960,0
19.11.2006 00:00:00.000,58.960,58.960,58.960,58.960,0
20.11.2006 00:00:00.000,58.730,59.040,57.970,58.970,165139000000
21.11.2006 00:00:00.000,58.960,60.400,58.610,60.080,142502000000
22.11.2006 00:00:00.000,60.050,60.350,58.350,59.240,145381000000
23.11.2006 00:00:00.000,59.240,59.240,59.240,59.240,0
24.11.2006 00:00:00.000,59.240,59.240,59.240,59.240,0
25.11.2006 00:00:00.000,59.240,59.240,59.240,59.240,0
26.11.2006 00:00:00.000,59.240,59.240,59.240,59.240,0
27.11.2006 00:00:00.000,59.890,60.440,59.260,60.360,26255000000
28.11.2006 00:00:00.000,60.400,61.200,60.200,61.000,143843000000
29.11.2006 00:00:00.000,60.990,62.540,60.950,62.450,151496000000
30.11.2006 00:00:00.000,62.320,63.800,62.200,62.940,215398000000
01.12.2006 00:00:00.000,62.850,63.700,62.240,63.430,220010000000
02.12.2006 00:00:00.000,63.430,63.430,63.430,63.430,0
03.12.2006 00:00:00.000,63.430,63.430,63.430,63.430,0
04.12.2006 00:00:00.000,63.810,63.820,61.900,62.350,176603000000
05.12.2006 00:00:00.000,62.420,63.250,61.530,62.510,162006000000
06.12.2006 00:00:00.000,62.420,63.010,61.840,62.360,227430000000
07.12.2006 00:00:00.000,62.310,62.760,61.550,62.750,221144000000
08.12.2006 00:00:00.000,62.750,63.650,61.950,62.030,255423000000
09.12.2006 00:00:00.000,62.030,62.030,62.030,62.030,0
10.12.2006 00:00:00.000,62.030,62.030,62.030,62.030,0
11.12.2006 00:00:00.000,62.210,62.250,61.050,61.330,217504000000
12.12.2006 00:00:00.000,61.300,62.010,60.650,60.940,197111000000
13.12.2006 00:00:00.000,60.970,61.850,60.740,61.390,210421000000
14.12.2006 00:00:00.000,62.230,63.600,62.170,63.260,174345000000
15.12.2006 00:00:00.000,63.370,64.150,63.000,63.850,113596000000
16.12.2006 00:00:00.000,63.850,63.850,63.850,63.850,0
17.12.2006 00:00:00.000,63.850,63.850,63.850,63.850,0
18.12.2006 00:00:00.000,63.620,64.080,62.620,62.770,106423000000
19.12.2006 00:00:00.000,62.730,64.000,62.280,63.460,165839000000
20.12.2006 00:00:00.000,63.500,64.150,63.180,63.630,170757000000
21.12.2006 00:00:00.000,63.580,63.590,62.300,62.610,179708000000
22.12.2006 00:00:00.000,62.670,63.090,62.100,62.410,142107000000
23.12.2006 00:00:00.000,62.410,62.410,62.410,62.410,0
24.12.2006 00:00:00.000,62.410,62.410,62.410,62.410,0
25.12.2006 00:00:00.000,62.410,62.410,62.410,62.410,0
26.12.2006 00:00:00.000,62.440,63.200,60.500,60.950,80124000000
27.12.2006 00:00:00.000,60.910,61.340,60.250,60.440,121339000000
28.12.2006 00:00:00.000,60.410,60.850,60.050,60.440,108794000000
29.12.2006 00:00:00.000,60.500,61.200,59.900,61.070,111098000000
30.12.2006 00:00:00.000,61.070,61.070,61.070,61.070,0
31.12.2006 00:00:00.000,61.070,61.070,61.070,61.070,0
01.01.2007 00:00:00.000,61.070,61.070,61.070,61.070,0
02.01.2007 00:00:00.000,60.980,61.550,60.410,60.850,105641000000
03.01.2007 00:00:00.000,60.950,60.970,57.720,58.320,41686000000
04.01.2007 00:00:00.000,58.350,58.580,55.390,55.400,248547000000
05.01.2007 00:00:00.000,55.410,56.400,54.900,56.300,324010000000
06.01.2007 00:00:00.000,56.300,56.300,56.300,56.300,0
07.01.2007 00:00:00.000,56.300,56.300,56.300,56.300,0
08.01.2007 00:00:00.000,56.240,57.720,55.100,56.130,250130000000
09.01.2007 00:00:00.000,56.120,56.200,53.880,55.780,298727000000
10.01.2007 00:00:00.000,55.750,55.810,53.440,53.510,333330000000
11.01.2007 00:00:00.000,53.590,54.730,51.800,51.980,282508000000
12.01.2007 00:00:00.000,52.070,53.110,51.560,53.050,341657000000
13.01.2007 00:00:00.000,53.050,53.050,53.050,53.050,0
14.01.2007 00:00:00.000,53.050,53.050,53.050,53.050,0
15.01.2007 00:00:00.000,53.050,53.050,53.050,53.050,0
16.01.2007 00:00:00.000,52.940,53.550,50.530,51.150,317900000000
17.01.2007 00:00:00.000,51.920,53.330,51.030,53.320,170194000000
18.01.2007 00:00:00.000,53.150,53.650,51.110,51.730,202697000000
19.01.2007 00:00:00.000,51.790,53.500,51.480,53.470,232583000000
20.01.2007 00:00:00.000,53.470,53.470,53.470,53.470,0
21.01.2007 00:00:00.000,53.470,53.470,53.470,53.470,0
22.01.2007 00:00:00.000,53.480,54.650,52.070,52.650,199331000000
23.01.2007 00:00:00.000,52.640,55.150,52.410,54.950,268288000000
24.01.2007 00:00:00.000,54.970,55.450,53.660,55.400,243676000000
25.01.2007 00:00:00.000,55.390,55.900,54.100,54.280,250596000000
26.01.2007 00:00:00.000,54.330,55.580,54.200,55.500,214449000000
27.01.2007 00:00:00.000,55.500,55.500,55.500,55.500,0
28.01.2007 00:00:00.000,55.500,55.500,55.500,55.500,0
29.01.2007 00:00:00.000,55.630,55.960,53.750,53.850,167981000000
30.01.2007 00:00:00.000,53.870,57.050,53.820,56.940,209141000000
31.01.2007 00:00:00.000,56.900,58.250,55.750,57.970,279880000000
01.02.2007 00:00:00.000,57.890,58.860,57.100,57.490,315015000000
02.02.2007 00:00:00.000,57.390,59.250,57.050,59.180,282637000000
03.02.2007 00:00:00.000,59.180,59.180,59.180,59.180,0
04.02.2007 00:00:00.000,59.180,59.180,59.180,59.180,0
05.02.2007 00:00:00.000,59.250,59.950,58.460,58.880,213512000000
06.02.2007 00:00:00.000,58.900,59.990,58.500,59.080,251449000000
07.02.2007 00:00:00.000,59.120,59.850,57.250,57.740,276430000000
08.02.2007 00:00:00.000,57.730,59.870,57.300,59.840,335594000000
09.02.2007 00:00:00.000,59.780,60.800,59.300,59.750,301777000000
10.02.2007 00:00:00.000,59.750,59.750,59.750,59.750,0
